step,enhanced_speed,cadence,grade,enhanced_altitude,max_heart_rate_perct,power
118,26.7624,77,0,11.6,0.7268,1.8875
119,27.3744,78,0,11.4,0.7268,1.7
120,26.856,78,0,11.4,0.7215,1.5125
121,27.7668,80,0,11.2,0.7215,1.5625
122,27.7524,80,0,11.2,0.7215,1.625
123,27.3204,80,0,11.2,0.7215,1.6375
124,28.2276,80,0,11,0.7162,1.6375
125,28.098,80,0,10.8,0.7162,1.6375
126,28.422,83,0,10.6,0.7162,1.625
127,28.53,83,0,10.6,0.7162,1.5875
128,29.214,83,0,10.4,0.7162,1.7875
129,29.9412,84,0,10.2,0.7162,2.25
130,30.0492,86,0,10.2,0.7162,2.3875
131,29.6712,87,0,10.2,0.7162,2.2
132,29.7828,87,0,10.2,0.711,2
133,30.1248,87,0,10,0.711,1.85
134,29.8404,87,0,10,0.711,1.7375
135,29.916,87,0,9.8,0.711,1.7
136,29.5416,87,0,9.8,0.711,1.725
137,29.5344,87,0,9.8,0.7162,1.675
138,29.4768,83,0,9.8,0.7215,1.725
139,29.0124,83,0,9.8,0.732,1.6625
140,28.8756,83,0,9.8,0.732,1.3875
141,28.1556,83,0,9.8,0.732,1.125
142,28.0548,81,0,9.8,0.732,1.1625
143,27.3744,80,0,9.8,0.7268,1.4375
144,27.4896,80,0,9.8,0.7215,1.7875
145,27.6192,80,0,9.8,0.7215,2.1375
146,27.5184,80,0,10,0.7215,2.3125
147,27.5544,80,0,10,0.7215,2.375
148,27.0828,80,0,10,0.7215,2.4375
149,27.1908,80,0,10.2,0.7268,2.525
150,27.8712,80,0,10.2,0.7268,2.475
151,27.9036,80,0,10.2,0.7268,2.4375
152,27.936,80,0,10.2,0.732,2.525
153,27.918,80,0,10.2,0.732,2.5
154,28.2204,80,0,10.2,0.732,2.3875
155,28.1016,80,0,10.2,0.732,2.2625
156,27.7236,80,0,10.2,0.7373,2.1875
157,27.7632,80,0,10.4,0.7373,2.2625
158,27.7056,80,0,10.4,0.7373,2.3
159,27.6264,80,0,10.6,0.7426,2.2375
160,27.6444,80,0,10.6,0.7426,2.275
161,27.6372,80,0,10.6,0.7426,2.3125
162,27.5832,80,0,10.6,0.7426,2.2625
163,28.1052,80,0,10.6,0.7478,2.275
164,27.6192,80,0,10.6,0.7478,2.3625
165,27.9648,80,0,10.8,0.7478,2.375
166,27.9792,80,0,10.8,0.7531,2.2
167,27.9864,80,0,10.8,0.7531,2.2375
168,27.9972,80,0,10.8,0.7531,2.2875
169,27.5904,80,0,10.8,0.7531,2.075
170,28.0332,80,0,10.8,0.7531,1.8875
171,28.0224,80,0,10.8,0.7584,1.825
172,27.6948,80,0,10.8,0.7584,1.7
173,27.7164,80,0,10.8,0.7584,1.575
174,27.6084,80,0,10.8,0.7584,1.6125
175,27.2124,80,0,11,0.7584,1.7875
176,27.2052,80,0,11,0.7531,2
177,27.162,80,0,11,0.7531,2.1125
178,27.1548,80,0,11,0.7478,2.0375
179,27.234,80,0,11,0.7426,1.975
180,27.27,80,0,11.2,0.7426,1.975
181,27.3204,80,0,11.2,0.7373,2.025
182,27.6768,80,0,11,0.7373,1.8125
183,27.594,80,0,11,0.7373,1.4875
184,27.63,80,0,11,0.7426,1.4
185,28.0512,80,0,11,0.7426,1.55
186,28.0836,80,0,11,0.7426,1.9125
187,28.4148,82,0,11,0.7426,2.2
188,28.3392,82,0,11,0.7478,2.2125
189,28.2636,83,0,10.8,0.7478,2.075
190,28.2852,83,0,10.8,0.7478,1.9625
191,28.152,83,0,10.8,0.7478,1.8875
192,28.2096,83,0,10.8,0.7478,1.8875
193,28.2024,83,0,10.8,0.7478,2.0375
194,28.5696,83,0,10.8,0.7478,2.025
195,28.2852,83,0,10.8,0.7426,1.85
196,28.2636,83,0,10.8,0.7426,1.7
197,28.3068,83,0,10.8,0.7426,1.6125
198,28.2528,83,0,10.8,0.7426,1.5625
199,28.332,80,0,10.8,0.7426,1.5875
200,27.684,80,0,10.8,0.7426,1.425
201,28.0548,80,0,10.8,0.7426,1.2875
202,27.936,80,0,10.8,0.7426,1.4375
203,27.8748,80,0,10.6,0.7426,1.7
204,27.936,80,0,10.6,0.7426,1.8875
205,27.9648,80,0,10.6,0.7478,1.925
206,27.9396,80,0,10.6,0.7478,1.725
207,27.936,80,0,10.6,0.7478,1.5375
208,27.9036,80,0,10.4,0.7478,1.5
209,27.3312,80,0,10.4,0.7478,1.4875
210,27.2988,80,0,10.4,0.7478,1.3625
211,27.18,80,0,10.4,0.7426,1.3125
212,26.8848,78,0,10.2,0.7426,1.4625
213,26.9172,77,0,10.4,0.7426,1.5
214,26.4636,60,0,10.4,0.7426,1.2125
215,26.064,34,0,10.4,0.7426,0.8625
216,25.2504,9,0,10.4,0.7426,0.525
217,24.7212,0,0,10.2,0.7426,0
218,24.2748,0,0,10.2,0.7426,0
219,23.6448,0,0,10.4,0.7426,0
220,23.0904,0,0,10.4,0.7373,0
221,22.68,0,0,10.4,0.7373,0
222,22.5828,0,0,10.4,0.7268,0
223,21.618,0,0,10.4,0.7215,0
224,20.8944,0,0,10.4,0.7215,0
225,20.4444,0,0,10.4,0.711,0
226,19.6164,0,0,10.4,0.7004,0
227,18.7452,0,0,10.4,0.6952,0
228,18.3492,0,0,10.4,0.6846,0
229,17.7552,14,0,10.6,0.6794,0
230,16.56,40,0,10.6,0.6794,0.0125
231,16.1316,43,0,10.6,0.6794,0.0125
232,16.0164,39,0,10.6,0.6794,0
233,14.7888,34,0,10.6,0.6794,0
234,14.4432,28,0,10.6,0.6794,0.0125
235,12.2328,22,0,10.8,0.6794,0.0125
236,11.196,36,0,10.8,0.6741,0.0125
237,9.792,37,0,10.6,0.6688,0
238,9.8244,28,0,10.6,0.6636,0
239,8.6796,20,0,10.6,0.6583,0
240,7.9668,27,0,10.6,0.653,0.0125
241,6.8868,25,0,10.6,0.653,0.0125
242,5.5332,15,0,10.6,0.6478,0.0125
243,0,5,0,10.6,0.6478,0.0125
244,11.7756,14,0,10.4,0.6478,0.3375
245,12.4848,48,0,10.4,0.653,1.45
246,13.9896,62,0,10.6,0.653,2.35
247,14.0364,63,0,10.6,0.6636,1.975
248,12.9204,63,0,10.6,0.6688,1.4875
249,12.5748,63,0,10.6,0.6688,1.0625
250,12.5892,48,0.04,10.6,0.6688,0.775
251,28.836,75,0,9.4,0.6952,6.1875
252,28.854,83,0,9.6,0.6952,6.625
253,28.1988,83,0,9.6,0.7004,4.4
254,28.926,83,0,9.4,0.7057,2.6375
255,28.314,83,0,9.4,0.7162,1.8625
256,28.6128,83,0,9.4,0.7215,1.45
257,28.1412,83,0,9.6,0.7268,1.675
258,28.2456,83,0,9.6,0.732,2.1375
259,28.2744,83,0,9.6,0.7426,2.35
260,28.7748,83,0,9.6,0.7478,2.55
261,28.8072,83,0,9.6,0.7531,2.625
262,28.8756,83,0,9.6,0.7531,2.7
263,29.0052,83,0,9.6,0.7584,2.6875
264,29.3004,83,0,9.6,0.7689,2.5625
265,29.3436,83,0,9.6,0.7689,2.5125
266,29.4012,87,0,9.8,0.7742,2.6125
267,29.5308,87,0,9.8,0.7742,2.5875
268,29.6604,87,0,9.8,0.7794,2.575
269,29.79,87,0,9.8,0.7794,2.575
270,29.8404,87,0,9.8,0.7847,2.575
271,29.9052,87,0,9.8,0.7847,2.4875
272,29.9304,87,0,10,0.7847,2.4
273,29.9736,87,0,10,0.7847,2.4
274,29.934,87,0,9.8,0.7847,2.3125
275,29.9268,87,0,9.8,0.7847,2.2
276,29.8944,87,0,10,0.7847,2.175
277,29.9088,87,0,10,0.7847,2
278,29.8692,87,0,10,0.7847,2.2375
279,29.8584,87,0,10,0.7847,2.175
280,29.8152,87,0,10,0.7847,2.2875
281,29.5272,87,0,10,0.7847,2.2
282,29.4588,84,0,10.2,0.7847,2.1375
283,29.142,83,0,10.2,0.7847,2.1625
284,29.1384,83,0,10.2,0.7847,2.2125
285,29.232,83,0,10.4,0.7847,2.5375
286,29.3616,83,0,10.4,0.7847,2.475
287,29.7216,87,0,10.4,0.7847,2.725
288,29.7324,87,0,10.4,0.7847,2.9
289,29.7828,87,0,10.4,0.7847,3.0125
290,29.7324,87,0,10.6,0.7847,2.85
291,29.6352,87,0,10.6,0.7847,2.8375
292,29.2644,87,0,10.6,0.7847,2.825
293,29.1816,86,0,10.8,0.7847,2.8125
294,29.0772,83,0,10.8,0.7847,2.6375
295,29.0196,83,0,10.8,0.7847,2.6
296,29.0592,83,0,10.8,0.7847,2.625
297,29.1024,83,0,10.8,0.79,2.4125
298,29.1096,83,0,11,0.79,2.2
299,29.5128,83,0,11,0.79,2.15
300,29.6244,87,0,11,0.79,2.2375
301,30.1212,87,0,11,0.79,2.3625
302,30.4524,87,0,11,0.79,2.3375
303,30.7836,87,0,10.8,0.7952,2.2875
304,31.2588,91,0,10.8,0.7952,2.05
305,31.734,91,0,10.6,0.7952,1.975
306,31.8024,91,0,10.6,0.7952,1.975
307,31.8528,91,0,10.4,0.7952,1.85
308,31.5684,91,0,10.4,0.7952,1.75
309,31.4964,91,0,10.2,0.7952,1.3375
310,31.446,91,0,10.2,0.7952,1.3
311,31.446,91,0,10.2,0.7952,1.6375
312,31.3848,91,0,10.2,0.7952,1.6
313,31.0644,83,0,10.2,0.7952,1.7625
314,31.4604,80,0,10.2,0.7952,1.725
315,31.5432,80,0,10.2,0.79,2.2
316,31.536,80,0,10.2,0.79,2.3875
317,31.5108,80,0,10.2,0.7847,2.375
318,31.6224,80,0,10.2,0.7847,2.225
319,31.7124,83,0,10.2,0.7847,2.4
320,31.7664,83,0,10,0.7847,2.35
321,31.8564,83,0,10,0.7847,2.225
322,31.95,83,0,10,0.7847,2.15
323,31.9752,83,0,9.8,0.7847,2.175
324,32.058,83,0,9.8,0.7847,2.1875
325,32.13,83,0,9.8,0.7847,2.225
326,32.508,83,0,9.8,0.7847,2.2875
327,32.4828,83,0,9.8,0.7847,2.2375
328,32.5404,83,0,9.8,0.7847,2.2125
329,32.5836,83,0,9.8,0.7847,2.225
330,32.616,83,0,9.6,0.79,2.225
331,32.5908,83,0,9.6,0.79,2.25
332,32.616,83,0,9.6,0.79,2.225
333,32.6052,83,0,9.6,0.79,2.2
334,32.5332,83,0,9.4,0.79,2.175
335,32.5044,83,0,9.4,0.79,2.15
336,32.4324,83,0,9.4,0.7847,2.2
337,32.4,83,0,9.4,0.7847,2.3375
338,32.3928,83,0,9.4,0.7847,2.275
339,32.3676,83,0,9.4,0.7847,2.2125
340,31.8744,83,0,9.4,0.7847,2.2875
341,31.7448,83,0,9.4,0.79,2.35
342,31.4316,83,0,9.4,0.79,2.4125
343,31.266,80,0,9.6,0.79,2.5
344,30.3156,80,0,9.6,0.7847,2.5875
345,30.3588,80,0,9.6,0.7847,2.4375
346,30.3372,80,0,9.8,0.7847,2.4625
347,30.2112,80,0,9.8,0.7847,2.375
348,30.2976,80,0,10,0.7847,2.3125
349,30.2436,80,0,10,0.7847,2.325
350,29.8296,82,0,10,0.7847,2.3375
351,29.7324,87,0,10,0.7847,2.5125
352,29.6892,87,0,10,0.7847,2.7125
353,29.6604,87,0,10.2,0.79,2.7125
354,29.6532,87,0,10.2,0.79,2.575
355,29.6964,87,0,10.2,0.79,2.575
356,29.6928,87,0,10.2,0.79,2.4625
357,29.7036,87,0,10.2,0.79,2.4625
358,29.7324,87,0,10.2,0.79,2.55
359,29.7252,87,0,10.2,0.79,2.475
360,29.4012,87,0,10.2,0.79,1.925
361,29.4264,84,0,10.2,0.79,2.1125
362,29.5776,87,0,10.2,0.7847,2.275
363,30.0456,87,0,10.2,0.7847,2.375
364,29.9772,87,0,10.4,0.7847,2.4625
365,30.312,87,0,10.2,0.7794,2.1125
366,30.4092,87,0,10.2,0.7794,2.15
367,30.51,87,0,10.2,0.7794,2.2
368,30.6072,87,0,10.2,0.7794,2.1875
369,30.5856,87,0,10.2,0.7794,2.1375
370,30.4596,87,0,10.2,0.7794,2.175
371,30.456,87,0,10.2,0.7794,2.275
372,30.348,87,0,10.2,0.7794,2.3875
373,30.2256,87,0,10.2,0.7794,2.375
374,30.1428,87,0,10.2,0.7794,2.5125
375,30.0744,87,0,10.2,0.7742,2.5
376,29.9988,87,0,10,0.7742,2.35
377,29.9016,87,0,10,0.7742,2.25
378,29.8188,87,0,10,0.7742,2.3375
379,29.808,87,0,10,0.7742,2.4
380,29.8296,87,0,10,0.7689,2.475
381,29.8728,87,0,10,0.7689,2.5125
382,29.9052,87,0,10,0.7636,2.45
383,29.934,87,0,10,0.7636,2.1875
384,29.9592,87,0,10.2,0.7636,2.275
385,30.0204,87,0,10.2,0.7689,2.6125
386,30.0204,87,0,10.2,0.7689,2.45
387,30.0024,87,0,10.2,0.7689,2.35
388,30.0132,87,0,10.4,0.7689,2.2875
389,29.9988,87,0,10.4,0.7689,2.2125
390,29.7036,87,0,10.4,0.7689,2.325
391,29.808,87,0,10.4,0.7689,2.075
392,29.844,87,0,10.4,0.7689,2.05
393,29.8224,87,0,10.4,0.7689,2.15
394,29.7756,87,0,10.4,0.7689,2.3
395,29.898,87,0,10.2,0.7742,2.5625
396,29.916,87,0,10.2,0.7742,2.4625
397,29.9952,87,0,10.2,0.7742,2.4375
398,30.276,87,0,10,0.7742,2.4375
399,30.312,87,0,10,0.7794,2.35
400,30.186,87,0,10,0.7794,2.15
401,30.1032,87,0,10,0.7794,1.9
402,29.9844,87,0,9.8,0.7794,1.725
403,29.8764,87,0,9.8,0.7794,2.075
404,29.466,87,0,9.8,0.7794,2.15
405,29.448,86,0,9.8,0.7794,2.1625
406,29.556,87,0,9.8,0.7794,2.1
407,29.592,87,0,9.6,0.7794,2.05
408,29.6424,87,0,9.6,0.7794,1.825
409,29.5524,87,0,9.6,0.7794,1.925
410,29.5236,83,0,9.6,0.7794,2
411,29.1924,83,0,9.6,0.7794,2.05
412,29.0808,83,0,9.8,0.7794,1.9375
413,28.5048,78,0,9.8,0.7794,1.825
414,24.6024,72,0,10,0.7794,1.05
415,18.18,56,0,10,0.7794,1.025
416,13.0212,40,0,10,0.7794,0.9875
417,9.1404,24,0,10.2,0.7794,0.95
418,6.0804,35,0,10.2,0.7742,0.25
419,5.5152,27,0,10.2,0.7689,0.2125
420,3.7692,18,0,10.2,0.7584,0.1625
421,3.7656,0,0,10,0.7004,0
422,8.3304,0,0,10,0.6952,0
423,9.36,0,0,10,0.6899,0
424,13.8528,41,0,10.2,0.6952,1
425,17.3124,73,0,10.2,0.6952,2.075
426,19.7532,96,0,10,0.6899,4.2625
427,19.17,91,0,10,0.6846,3.2
428,20.0736,87,0,10.2,0.6794,2.8875
429,21.402,87,0,10.2,0.6794,3.725
430,22.9536,90,0,10.2,0.6794,3.425
431,23.6412,96,0,10.2,0.6846,3.475
432,24.336,88,0,10.2,0.6899,2.9
433,25.2072,91,0,10.2,0.6952,3.275
434,25.6176,92,0,10.2,0.7057,3.3625
435,25.956,96,0,10.4,0.711,3.4375
436,26.8992,89,0,10.4,0.7162,2.3625
437,26.352,84,0,10.4,0.7215,2.5625
438,26.8992,87,0,10.4,0.7268,2.775
439,27.3924,87,0,10.4,0.7268,2.7875
440,27.7164,88,0,10.2,0.732,2.8125
441,28.1592,89,0,10.2,0.732,2.675
442,28.458,91,0,10.2,0.732,2.6875
443,28.458,91,0,10.4,0.732,2.625
444,29.0844,91,0,10.4,0.732,2.55
445,29.0196,91,0,10.4,0.732,2.4625
446,28.8828,91,0,10.2,0.7373,2.125
447,28.8036,91,0,10.2,0.7373,2.15
448,28.7676,91,0,10.2,0.7373,2
449,28.7748,91,0,10.4,0.7426,1.8625
450,28.7496,91,0,10.4,0.7478,2.0625
451,28.8324,91,0,10.4,0.7478,2.0625
452,29.196,91,0,10.4,0.7478,1.85
453,29.2032,91,0,10.4,0.7478,2.425
454,29.2104,94,0,10.4,0.7478,2.5125
455,29.2752,90,0,10.4,0.7478,2.2125
456,29.6532,87,0,10.4,0.7531,2.325
457,29.7396,87,0,10.4,0.7531,2.775
458,29.8116,87,0,10.6,0.7584,2.3375
459,29.8152,87,0,10.6,0.7584,2.2875
460,29.7864,87,0,10.6,0.7584,2.2625
461,29.8188,87,0,10.8,0.7636,2.2875
462,29.7648,87,0,10.8,0.7636,2.35
463,29.7648,87,0,10.8,0.7636,2.325
464,30.0564,87,0,10.8,0.7636,2.2875
465,30.114,87,0,10.6,0.7636,2.2125
466,30.1716,87,0,10.6,0.7636,2.2
467,30.204,87,0,10.6,0.7636,2.1625
468,30.6108,87,0,10.4,0.7636,2.1625
469,30.6216,91,0,10.4,0.7636,2.1375
470,29.9808,87,0,10.6,0.7636,2.125
471,29.9844,87,0,10.6,0.7689,2.2875
472,29.0664,87,0,10.6,0.7689,2.1875
473,30.0384,87,0,10.6,0.7689,2.3125
474,30.9492,88,0,10.6,0.7689,2.4875
475,30.8916,90,0,10.4,0.7689,2.4875
476,31.0284,91,0,10.4,0.7689,2.5
477,30.8736,90,0,10.4,0.7689,2.6
478,30.4272,87,0,10.6,0.7742,2.4625
479,30.5496,87,0,10.6,0.7742,2.175
480,30.6144,87,0,10.4,0.7742,2.0625
481,30.5496,87,0,10.6,0.7742,2.0625
482,30.4848,87,0,10.6,0.7742,2.0375
483,29.9016,87,0,10.6,0.7794,2.0625
484,30.006,87,0,10.6,0.7794,2.1625
485,29.9844,87,0,10.6,0.7794,1.925
486,30.006,87,0,10.8,0.7794,1.725
487,29.916,87,0,10.8,0.7794,1.75
488,29.8944,87,0,10.8,0.7847,1.8875
489,29.934,87,0,10.8,0.7847,1.9625
490,29.9592,87,0,10.8,0.7847,1.975
491,29.9268,87,0,10.8,0.7847,1.825
492,29.8728,87,0,10.8,0.7847,1.825
493,29.5236,87,0,10.8,0.7794,1.8375
494,29.556,87,0,10.8,0.7794,1.9125
495,29.4912,87,0,10.8,0.7794,1.8125
496,29.0124,85,0,10.8,0.7794,1.6
497,29.5164,86,0,10.8,0.7742,1.6125
498,29.5488,86,0,10.8,0.7742,1.6375
499,29.6064,86,0,10.8,0.7742,1.65
500,29.5884,86,0,10.8,0.7742,1.6625
501,29.5956,86,0,10.8,0.7742,1.9
502,29.4732,87,0,10.8,0.7742,1.95
503,29.4588,87,0,10.8,0.7742,2.0625
504,29.0628,83,0,10.8,0.7742,2.1375
505,28.9944,83,0,10.8,0.7742,1.975
506,29.1096,83,0,11,0.7794,1.95
507,29.1924,83,0,11,0.7794,2
508,29.2248,83,0,11,0.7794,1.9375
509,29.304,83,0,11,0.7794,1.8625
510,29.376,83,0,11,0.7794,1.7625
511,29.3976,83,0,11,0.7794,1.7125
512,29.3688,87,0,11,0.7794,1.4875
513,29.0772,87,0,11,0.7794,1.4875
514,29.2212,87,0,11,0.7742,1.525
515,29.5524,87,0,11,0.7742,1.8375
516,29.5992,87,0,11,0.7742,2.1125
517,29.5776,87,0,11,0.7742,2.1375
518,29.61,87,0,11,0.7742,1.9625
519,29.5992,87,0,11,0.7742,2.025
520,29.5524,87,0,11,0.7742,1.9375
521,29.5488,87,0,11.2,0.7689,1.9375
522,29.2356,83,0,11.2,0.7689,1.975
523,29.2824,83,0,11.2,0.7689,1.8
524,28.962,83,0,11.2,0.7742,1.3875
525,28.17,60,0,11.2,0.7742,1.2875
526,27.324,38,0,11.2,0.7742,1.1875
527,25.7616,15,0,11.2,0.7689,1.0875
528,24.102,0,0,11.2,0.7689,0
529,23.2308,1,0,11.2,0.7636,0
530,23.58,50,0,11.2,0.7531,0.6875
531,25.9704,69,0,11,0.7478,2.55
532,28.368,75,0,11,0.7426,4.525
533,28.8072,79,0,11.2,0.7373,5.0375
534,29.088,82,0,11.2,0.7373,4.9875
535,29.16,83,0,11.2,0.7426,4.6875
536,28.7892,83,0,11.4,0.7426,2.7875
537,29.1816,83,0,11.2,0.7478,1.95
538,29.2176,83,0,11.2,0.7478,1.5875
539,29.3076,84,0,11.2,0.7531,1.7625
540,29.3724,87,0,11.2,0.7531,2.125
541,29.4516,87,0,11.2,0.7531,2.4875
542,29.7396,87,0,11.2,0.7531,2.45
543,29.8116,87,0,11.4,0.7531,2.325
544,29.9304,87,0,11.4,0.7531,2.4875
545,30.0456,87,0,11.4,0.7531,2.4375
546,30.1104,87,0,11.4,0.7531,2.325
547,30.1068,87,0,11.4,0.7531,2.3
548,30.1788,87,0,11.4,0.7531,2.1625
549,30.2112,87,0,11.4,0.7531,2.025
550,30.2004,87,0,11.4,0.7478,2.15
551,30.222,87,0,11.4,0.7478,2.3375
552,30.2904,87,0,11.4,0.7478,2.1625
553,30.5748,87,0,11.4,0.7478,2.0625
554,30.6684,87,0,11.4,0.7478,2.225
555,30.7548,88,0,11.4,0.7531,2.3875
556,30.8016,90,0,11.4,0.7478,2.425
557,30.69,87,0,11.4,0.7478,2.2125
558,30.582,87,0,11.4,0.7478,1.8875
559,30.5424,87,0,11.4,0.7478,1.75
560,30.2076,87,0,11.4,0.7478,1.7375
561,30.2004,87,0,11.4,0.7426,1.7125
562,30.168,87,0,11.4,0.7426,1.7875
563,30.15,87,0,11.4,0.7426,2.05
564,30.1392,87,0,11.4,0.7426,2.2125
565,30.1356,87,0,11.6,0.7426,2.2375
566,30.1464,87,0,11.6,0.7426,2.1375
567,30.2076,87,0,11.6,0.7478,2.0625
568,30.7008,87,0,11.6,0.7478,2.2375
569,30.8016,87,0,11.6,0.7531,2.5625
570,30.7404,88,0,11.6,0.7584,2.575
571,30.7944,89,0,11.8,0.7584,2.4875
572,30.816,91,0,11.8,0.7636,2.375
573,30.924,91,0,11.8,0.7636,2.375
574,30.888,91,0,12,0.7689,2.3375
575,30.8592,89,0,12,0.7689,2.275
576,30.7692,87,0,12,0.7689,2.175
577,30.4632,87,0,12,0.7742,2.1375
578,30.4704,87,0,12,0.7742,2.15
579,30.5568,87,0,12,0.7742,2.1125
580,30.5496,87,0,12,0.7742,2.1125
581,30.5676,87,0,11.8,0.7742,2.0625
582,30.546,87,0,11.8,0.7742,1.95
583,30.654,88,0,12,0.7742,2.0625
584,31.0572,91,0,12,0.7742,2.3875
585,31.1328,91,0,12,0.7742,2.625
586,31.4316,91,0,12,0.7742,2.575
